Category,Country,Year,Value
Large devices,Netherlands,2019,118002
Large devices,Netherlands,2020,137312
Large devices,Netherlands,2021,132800
Large devices,Netherlands,2022,129593
Large devices,Netherlands,2023,131069
Large devices,Romania,2019,60618
Large devices,Romania,2020,65608
Large devices,Romania,2021,106484
Personal devices,Netherlands,2019,39508
Personal devices,Netherlands,2020,38627
Personal devices,Netherlands,2021,35035
Personal devices,Netherlands,2022,29413
Personal devices,Netherlands,2023,36625
Personal devices,Romania,2019,19100
Personal devices,Romania,2020,15725
Personal devices,Romania,2021,25816
Small devices,Netherlands,2019,41139
Small devices,Netherlands,2020,44297
Small devices,Netherlands,2021,38156
Small devices,Netherlands,2022,40464
Small devices,Netherlands,2023,51762
Small devices,Romania,2019,9153
Small devices,Romania,2020,9461
Small devices,Romania,2021,13608
